Name,Status,Price,Stars,Ratings,URL,UPC
"Monster Hunter Rise Deluxe Edition Console, US Version • Nintendo Switch • NEW",Brand New,$425.00,Fre,0,https://www.ebay.com/itm/154428825703?hash=item23f4ace067:g:ADUAAOSwrkhgdkjq,
Nintendo Switch Console Mario Red and Blue Edition WITH CARRYING CASE SAME DAY,Brand New,$388.88,Fre,0,https://www.ebay.com/itm/164714991925?hash=item2659c75135:g:eHkAAOSw~xRgMbJ9,
Nintendo Switch Bundle Neon Red/Neon Blue Console - Plus Extras,Pre-Owned,$210.50,Tim,0,https://www.ebay.com/itm/203417350219?hash=item2f5c9e704b:g:C3MAAOSwhnVgi5Ut,
Nintendo Switch Console with Gray Joy‑Con And Donkey Kong Case,Pre-Owned,$289.99,5.0,0,https://www.ebay.com/itm/254967108279?epid=25034355190&hash=item3b5d3952b7:g:3I8AAOSwWrdgkbFC,
Nintendo Switch Console 32GB Black Tablet Only Tested HAC-001 ,Refurbished,$178.98,5.0,0,https://www.ebay.com/itm/274761901211?epid=15029958234&hash=item3ff915e49b:g:qewAAOSwlIxfqALF,
Grade B Nintendo Switch 32GB Replacement System Console Tablet Only,Pre-Owned,$50.00,Tim,0,https://www.ebay.com/itm/284282153436?hash=item42308969dc:g:j-IAAOSw~E5gkKkF,
NEW Nintendo Switch Lite Handheld Console - Turquoise,Brand New,$160.00,5.0,0,https://www.ebay.com/itm/265147275230?epid=19033843702&hash=item3dbc0257de:g:lLkAAOSw4AxgkEwE,
Nintendo Switch V1 XAW700188 UNPATCHED? 64gb HAC-001 Video Game System Console,Pre-Owned,$160.50,Tim,0,https://www.ebay.com/itm/124709920375?hash=item1d094a5e77:g:X5cAAOSwpSlgLwI8,
Nintendo Switch 32GB Neon Red Neon Blue Joy-Con HAC-001(-01) / NEW STILL SEALED,Brand New,$345.00,4.5,0,https://www.ebay.com/itm/154438544393?epid=22031750451&hash=item23f5412c09:g:8moAAOSwlyBdi-Bs,
Nintendo Switch 32GB Neon Red/Neon Blue Console Bundle -4 Games & Carrying Case!,Pre-Owned,$299.99,4.5,0,https://www.ebay.com/itm/224447972674?epid=16029037217&hash=item3442244542:g:PsAAAOSw9Nlgj0DK,
NEW Nintendo Switch Monster Hunter Rise Deluxe Edition Console | In Hand,Brand New,$439.99,Wat,0,https://www.ebay.com/itm/224451155014?hash=item344254d446:g:1voAAOSwNKdgce-3,
🔥Animal Crossing: New Horizons Limited Edition 🔥Nintendo Switch Console🔥,Refurbished,$394.99,5.0,0,https://www.ebay.com/itm/193934948362?epid=4037037457&hash=item2d276c780a:g:Q~4AAOSwoZBfz-gI:sc:ShippingMethodExpress!83402!US!-1,
Nintendo Switch 32GB Neon Red/Neon Blue Console W/ Super Smash Bros Ultimate,Pre-Owned,$180.00,4.5,0,https://www.ebay.com/itm/393289215747?epid=16029037217&hash=item5b91dd2f03:g:qnYAAOSwtZJgjxrQ,
Nintendo HAC-001 32GB Switch Console - Black Launch Edition! Not Banned!,Pre-Owned,$300.00,5.0,0,https://www.ebay.com/itm/284274502964?epid=15029958234&hash=item423014ad34:g:gLMAAOSwnMVgiF1B,
Nintendo Switch 32GB Gray Console w/ Neon Red & Blue Joy-Con Controllers HAC-001,Pre-Owned,$168.00,Tim,0,https://www.ebay.com/itm/194099655793?hash=item2d313db471:g:W78AAOSwIepgkkyC,
Nintendo Switch 32GB Console Only Neon Red/Neon Blue  Joy-Cons,Pre-Owned,$270.00,4.5,0,https://www.ebay.com/itm/324605200886?epid=16029037217&hash=item4b93fa49f6:g:po0AAOSw2hpgkfpP,
Nintendo Switch 32 Gb Console with Grey Joy Con and Case - Used Excellent ,Pre-Owned,$189.00,Tim,0,https://www.ebay.com/itm/174750293458?hash=item28afedddd2:g:FsQAAOSwP6JgihTX,
Nintendo Switch 32GB Neon Red/Neon Blue Console *WITH TWO GAMES*,Open Box,$294.00,4.5,0,https://www.ebay.com/itm/363377192578?epid=16029037217&hash=item549af7ee82:g:LIIAAOSwRh9ggG1d,
Nintendo Switch Fortnite Wildcat Console Bundle No Code No Adapter NEW,Brand New,$216.00,5.0,0,https://www.ebay.com/itm/194070721294?epid=15043434096&hash=item2d2f84330e:g:cskAAOSwl2pgc08T,
Nintendo Switch Lite Handheld Video Game Console 32GB  - Turquoise - New,Brand New,$195.00,5.0,0,https://www.ebay.com/itm/333989572666?epid=21034688169&hash=item4dc354703a:g:ly4AAOSw9NlgicMC,
Nintendo Switch HAC-001(-01) 32GB Console with Gray Joy‑Con Video Game Console,Pre-Owned,$192.50,5.0,0,https://www.ebay.com/itm/373567663611?epid=25034355190&hash=item56fa5e2dfb:g:~00AAOSwIfVgkcbJ,
Animal Crossing Nintendo Switch CONSOLE TABLET *ONLY* near mint (NTSC) ,Pre-Owned,$209.99,Wat,0,https://www.ebay.com/itm/164849962142?hash=item2661d2cc9e:g:s4MAAOSwA~RgkfBC,
Nintendo Switch 32GB Neon Red/Neon Blue Console w/ Super Mario 3D All-Stars,Brand New,$265.00,Tim,0,https://www.ebay.com/itm/114791129442?hash=item1aba15a162:g:ji4AAOSwbw1gZqxH,
"Nintendo Switch UNPATCHED Console w/ Gray Joy-cons, Power Adapter, Dock, & HDMI",Pre-Owned,$225.00,Tim,0,https://www.ebay.com/itm/124701419096?hash=item1d08c8a658:g:7Z4AAOSw-7Fgig6B,
